الفئة: جميع الفئات

الأسبوع.,programming: (في جميع أنحاء العالم),تحليل بيانات: (في جميع أنحاء العالم),finance: (في جميع أنحاء العالم)
2021-10-17,11,5,68
2021-10-24,11,5,69
2021-10-31,9,5,66
2021-11-07,10,5,70
2021-11-14,11,5,68
2021-11-21,10,5,62
2021-11-28,11,6,68
2021-12-05,11,5,67
2021-12-12,11,5,68
2021-12-19,10,4,60
2021-12-26,9,4,57
2022-01-02,12,6,68
2022-01-09,13,6,68
2022-01-16,12,6,63
2022-01-23,14,7,71
2022-01-30,13,6,74
2022-02-06,14,7,70
2022-02-13,15,8,72
2022-02-20,15,7,71
2022-02-27,15,7,72
2022-03-06,15,8,75
2022-03-13,14,7,66
2022-03-20,14,7,74
2022-03-27,14,8,71
2022-04-03,15,8,70
2022-04-10,13,7,63
2022-04-17,16,8,68
2022-04-24,14,7,71
2022-05-01,14,6,68
2022-05-08,14,6,76
2022-05-15,13,6,73
2022-05-22,13,7,71
2022-05-29,13,7,65
2022-06-05,13,7,69
2022-06-12,13,7,72
2022-06-19,13,7,64
2022-06-26,13,7,66
2022-07-03,12,7,66
2022-07-10,13,7,65
2022-07-17,13,7,68
2022-07-24,13,7,67
2022-07-31,13,7,71
2022-08-07,12,7,70
2022-08-14,13,7,70
2022-08-21,14,7,72
2022-08-28,13,7,67
2022-09-04,14,7,63
2022-09-11,15,7,73
2022-09-18,15,7,71
2022-09-25,14,7,70
2022-10-02,13,7,67
2022-10-09,14,7,68
2022-10-16,14,8,65
2022-10-23,12,7,63
2022-10-30,14,7,68
2022-11-06,14,7,69
2022-11-13,14,7,66
2022-11-20,13,7,58
2022-11-27,13,7,61
2022-12-04,14,7,64
2022-12-11,14,7,60
2022-12-18,12,6,59
2022-12-25,12,5,55
2023-01-01,12,7,64
2023-01-08,13,7,66
2023-01-15,13,7,64
2023-01-22,13,8,67
2023-01-29,14,8,72
2023-02-05,14,8,70
2023-02-12,13,8,67
2023-02-19,14,8,64
2023-02-26,13,8,64
2023-03-05,12,8,60
2023-03-12,13,9,68
2023-03-19,13,9,69
2023-03-26,13,9,65
2023-04-02,12,8,65
2023-04-09,12,8,62
2023-04-16,11,8,63
2023-04-23,12,8,62
2023-04-30,12,8,64
2023-05-07,11,8,63
2023-05-14,12,9,62
2023-05-21,12,9,64
2023-05-28,12,9,64
2023-06-04,12,9,66
2023-06-11,11,9,67
2023-06-18,12,8,64
2023-06-25,11,8,62
2023-07-02,11,8,68
2023-07-09,12,9,71
2023-07-16,12,8,69
2023-07-23,12,8,69
2023-07-30,12,8,72
2023-08-06,13,8,74
2023-08-13,12,8,66
2023-08-20,13,8,69
2023-08-27,12,8,67
2023-09-03,13,9,68
2023-09-10,15,9,67
2023-09-17,13,9,67
2023-09-24,13,9,66
2023-10-01,13,9,69
2023-10-08,13,9,68
2023-10-15,13,9,64
2023-10-22,12,8,61
2023-10-29,12,8,66
2023-11-05,12,9,66
2023-11-12,12,8,63
2023-11-19,12,8,59
2023-11-26,12,9,66
2023-12-03,13,9,69
2023-12-10,12,8,73
2023-12-17,12,7,66
2023-12-24,10,6,56
2023-12-31,12,7,66
2024-01-07,12,9,69
2024-01-14,12,9,69
2024-01-21,12,10,67
2024-01-28,13,9,77
2024-02-04,14,9,77
2024-02-11,16,9,72
2024-02-18,13,10,75
2024-02-25,13,11,72
2024-03-03,13,10,74
2024-03-10,12,9,72
2024-03-17,13,9,67
2024-03-24,11,9,61
2024-03-31,12,9,69
2024-04-07,11,9,64
2024-04-14,12,10,67
2024-04-21,12,10,66
2024-04-28,12,9,68
2024-05-05,11,10,65
2024-05-12,12,10,70
2024-05-19,12,9,63
2024-05-26,11,10,64
2024-06-02,11,10,72
2024-06-09,11,9,71
2024-06-16,10,8,65
2024-06-23,11,9,69
2024-06-30,11,8,65
2024-07-07,11,9,65
2024-07-14,11,9,67
2024-07-21,11,9,69
2024-07-28,11,9,70
2024-08-04,11,9,71
2024-08-11,11,8,67
2024-08-18,11,9,67
2024-08-25,12,9,68
2024-09-01,12,9,70
2024-09-08,12,9,83
2024-09-15,12,9,83
2024-09-22,13,9,78
2024-09-29,12,9,70
2024-10-06,12,9,65
2024-10-13,11,9,66
2024-10-20,11,10,69
2024-10-27,11,8,65
2024-11-03,11,9,68
2024-11-10,12,9,70
2024-11-17,12,9,62
2024-11-24,11,9,60
2024-12-01,11,9,69
2024-12-08,12,8,66
2024-12-15,11,8,67
2024-12-22,9,7,51
2024-12-29,10,7,60
2025-01-05,10,8,60
